CÔNG TY CỔ PHẦN 													
Báo cáo PROFIT AND LOSS													
Triệu VNĐ	2020												
	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	CẢ NĂM
Dòng doanh thu 1	587.0	596.3	605.8	615.4	625.2	635.1	645.2	655.4	665.8	676.4	687.1	698.0	7,692.6
Dòng doanh thu 2	145.6	147.9	150.2	152.6	155.0	157.5	160.0	162.5	165.1	167.7	170.4	173.1	1,907.8
Trả hàng, hoàn tiền, giảm giá	(21.0)	(21.3)	(21.7)	(22.0)	(22.4)	(22.7)	(23.1)	(23.5)	(23.8)	(24.2)	(24.6)	(25.0)	(275.3)
Tổng doanh thu ròng	711.6	722.9	734.3	746.0	757.8	769.9	782.1	794.5	807.1	819.9	832.9	846.1	9,325.0
													
Giá vốn	269.6	273.9	278.2	282.7	287.1	291.7	296.3	301.0	305.8	310.7	315.6	320.6	3,533.2
Lợi nhuận gộp	442.0	449.0	456.1	463.3	470.7	478.2	485.7	493.5	501.3	509.2	517.3	525.5	5,791.8
													
Chi phí													
Quảng cáo, Khuyến mãi	18.7	19.1	19.5	19.8	20.2	20.6	21.0	21.5	21.9	22.3	22.8	23.2	250.6
Khấu hao	108.7	110.9	113.1	115.3	117.6	119.9	122.3	124.8	127.2	129.8	132.3	135.0	1,456.8
Bảo hiểm	1.1	1.1	1.1	1.2	1.2	1.2	1.2	1.3	1.3	1.3	1.3	1.4	14.7
Bảo dưỡng	5.7	5.8	5.9	6.0	6.2	6.3	6.4	6.5	6.7	6.8	6.9	7.1	76.4
Văn phòng phẩm	2.8	2.9	2.9	3.0	3.0	3.1	3.2	3.2	3.3	3.3	3.4	3.5	37.5
Tiền thuê	5.8	5.9	6.0	6.2	6.3	6.4	6.5	6.7	6.8	6.9	7.1	7.2	77.7
Tiền lương, phúc lợi	251.2	256.2	261.3	266.5	271.8	277.2	282.7	288.3	294.0	299.9	305.8	311.9	3,366.7
Viễn thông	1.5	1.5	1.6	1.6	1.6	1.7	1.7	1.7	1.8	1.8	1.8	1.9	20.1
Du lịch	2.3	2.3	2.4	2.4	2.5	2.5	2.6	2.6	2.7	2.7	2.8	2.9	30.8
Dịch vụ điện, nước, vệ sinh,…	1.4	1.4	1.5	1.5	1.5	1.5	1.6	1.6	1.6	1.7	1.7	1.7	18.8
Chi phí khác 1	3.8	3.9	4.0	4.0	4.1	4.2	4.3	4.4	4.4	4.5	4.6	4.7	50.9
Chi phí khác 2	-	-	-	-	-	-	-	-	-	-	-	-	-
Tổng chi phí	403.0	411.0	419.2	427.5	436.0	444.7	453.5	462.5	471.7	481.1	490.6	500.4	5,401.1
Thu nhập trước lãi suất & thuế	39.0	38.0	36.9	35.8	34.7	33.5	32.2	30.9	29.6	28.2	26.7	25.2	390.6
													
Chi phí lãi vay	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	30.0
Thu nhập trước thuế	36.5	35.5	34.4	33.3	32.2	31.0	29.7	28.4	27.1	25.7	24.2	22.7	360.6
													
Thuế thu nhập	10.9	10.6	10.3	10.0	9.7	9.3	8.9	8.5	8.1	7.7	7.3	6.8	108.2
Thu nhập ròng	25.5	24.8	24.1	23.3	22.5	21.7	20.8	19.9	19.0	18.0	16.9	15.9	252.4
